rooms,area,city,private_offer,year,total_price,zmywarka,balkon,piwnica,telewizor,monitoring,oddzielna_kuchnia,garaz,teren_zamkniety,klimatyzacja,taras
2,56,Wrocław,0,2017.0,3000,0,0,0,0,0,0,1,0,0,1
2,56,Wrocław,1,2015.0,2800,1,0,0,1,0,0,1,0,0,1
2,57,Wrocław,0,1936.0,2300,1,0,0,1,0,0,0,0,0,0
2,44,Wrocław,0,1980.0,2430,0,1,0,0,0,0,0,0,0,0
2,40,Wrocław,0,2017.0,2700,0,1,0,0,0,0,0,0,0,0
2,41,Wrocław,1,2020.0,2250,1,1,0,1,0,0,1,1,0,0
1,42,Wrocław,0,2017.0,2390,0,0,0,0,0,0,0,0,0,0
2,41,Wrocław,1,2020.0,2469,1,0,0,0,1,0,0,1,0,1
1,38,Wrocław,1,2017.0,1970,1,1,0,0,1,1,0,0,1,1
3,55,Wrocław,0,1980.0,2550,0,1,0,0,0,0,0,0,0,0
2,55,Wrocław,0,2003.0,2489,0,1,0,0,0,1,0,0,0,0
2,54,Wrocław,1,2017.0,2861,1,1,0,1,1,1,0,0,0,0
3,62,Wrocław,0,2015.0,3599,1,1,0,1,1,1,1,0,1,0
1,34,Wrocław,1,2018.0,2400,1,1,0,1,0,0,1,0,0,0
3,58,Wrocław,1,2015.0,2800,1,1,0,1,1,0,1,0,0,0
1,17,Wrocław,1,2019.0,1370,0,1,0,0,1,0,1,0,0,0
1,20,Wrocław,1,2020.0,1400,0,0,0,1,0,0,0,0,0,0
2,56,Wrocław,0,2018.0,3000,0,0,0,0,0,0,1,0,0,0
2,38,Wrocław,1,2009.0,2300,0,1,0,1,0,0,0,0,0,0
2,45,Wrocław,1,2008.0,2200,1,1,0,0,1,0,0,0,0,0
2,54,Wrocław,1,2020.0,4100,1,0,0,1,1,0,1,1,0,1
2,33,Wrocław,1,2014.0,1950,0,1,1,1,0,0,1,1,0,0
2,48,Wrocław,1,1930.0,2100,0,1,0,0,0,1,0,0,0,0
1,37,Wrocław,0,2011.0,1500,1,1,0,0,0,1,1,0,1,0
3,78,Wrocław,1,2013.0,3400,1,0,0,1,0,0,0,0,0,1
2,54,Wrocław,0,2005.0,2100,0,0,0,0,0,1,0,0,0,0
2,37,Wrocław,1,2010.0,2000,1,0,0,1,0,0,0,0,0,1
2,48,Wrocław,1,2010.0,2200,1,1,0,0,0,1,0,1,1,0
3,61,Wrocław,0,2017.0,3000,1,1,0,1,1,0,1,1,1,0
1,28,Wrocław,0,2020.0,1800,0,0,0,0,0,0,0,0,0,0
1,25,Wrocław,1,2020.0,1830,0,0,0,0,0,0,0,0,0,0
2,36,Wrocław,1,1970.0,2242,1,1,1,0,1,0,0,0,0,0
2,46,Wrocław,0,1920.0,2100,0,0,1,0,0,1,0,0,0,0
3,79,Wrocław,1,2017.0,5501,1,1,0,1,1,0,0,0,0,0
2,56,Wrocław,1,2011.0,2400,1,1,0,1,0,1,0,0,0,1
1,30,Wrocław,1,1996.0,1600,0,0,1,0,0,1,1,0,0,0
1,31,Wrocław,1,2018.0,2055,1,1,0,1,1,1,0,0,0,0
2,40,Wrocław,1,2019.0,2330,1,0,0,1,0,0,0,0,0,0
2,57,Wrocław,1,1932.0,2200,0,0,1,0,0,1,0,0,0,0
2,40,Wrocław,0,2020.0,2650,0,1,0,0,0,0,1,0,0,0
3,71,Wrocław,1,2008.0,3560,1,0,0,1,1,0,1,1,1,1
2,48,Wrocław,1,2013.0,2600,1,1,0,0,1,1,0,1,0,0
2,48,Wrocław,1,1970.0,2180,1,1,0,1,0,1,1,0,1,0
1,19,Wrocław,1,2020.0,1450,0,0,0,0,0,0,0,0,0,0
2,40,Wrocław,1,2001.0,2200,0,1,1,1,0,0,0,0,0,0
3,65,Wrocław,0,2019.0,3850,0,1,0,0,0,0,1,0,0,0
3,48,Wrocław,0,1975.0,2750,0,1,1,0,0,0,0,0,0,0
2,38,Wrocław,0,2019.0,2460,0,0,0,0,1,0,1,0,0,0
